perp,time,fundingRate
AAVE,2025-08-13 08:00:00.056000+00:00,3.41621e-05
AAVE,2025-08-13 16:00:00.015000+00:00,1.39322e-05
AAVE,2025-08-14 00:00:00.010000+00:00,2.79834e-05
AAVE,2025-08-14 08:00:00.062000+00:00,1.95876e-05
AAVE,2025-08-14 16:00:00.096000+00:00,1.25e-05
AAVE,2025-08-15 00:00:00.002000+00:00,1.25e-05
AAVE,2025-08-15 08:00:00.049000+00:00,1.25e-05
AAVE,2025-08-15 16:00:00.126000+00:00,1.3147e-06
AAVE,2025-08-16 00:00:00.072000+00:00,1.25e-05
AAVE,2025-08-16 08:00:00.063000+00:00,1.25e-05
AAVE,2025-08-16 16:00:00.062000+00:00,1.25e-05
AAVE,2025-08-17 00:00:00.009000+00:00,1.25e-05
AAVE,2025-08-17 08:00:00+00:00,1.25e-05
AAVE,2025-08-17 16:00:00.075000+00:00,1.25e-05
AAVE,2025-08-18 00:00:00.021000+00:00,1.25e-05
AAVE,2025-08-18 08:00:00.021000+00:00,-7.6561e-06
AAVE,2025-08-18 16:00:00.022000+00:00,7.9137e-06
AAVE,2025-08-19 00:00:00.045000+00:00,9.0976e-06
AAVE,2025-08-19 08:00:00.026000+00:00,1.25e-05
AAVE,2025-08-19 16:00:00.039000+00:00,5.2812e-06
AAVE,2025-08-20 00:00:00.079000+00:00,-8.8064e-06
AAVE,2025-08-20 08:00:00.015000+00:00,-1.2853e-06
AAVE,2025-08-20 16:00:00.010000+00:00,1.25e-05
AAVE,2025-08-21 00:00:00.042000+00:00,1.25e-05
AAVE,2025-08-21 08:00:00.024000+00:00,1.25e-05
AAVE,2025-08-21 16:00:00+00:00,1.25e-05
AAVE,2025-08-22 00:00:00.030000+00:00,1.25e-05
AAVE,2025-08-22 08:00:00.018000+00:00,1.25e-05
AAVE,2025-08-22 16:00:00.054000+00:00,1.25e-05
AAVE,2025-08-23 00:00:00.003000+00:00,6.47548e-05
AAVE,2025-08-23 08:00:00.028000+00:00,1.25e-05
AAVE,2025-08-23 16:00:00.020000+00:00,2.93061e-05
AAVE,2025-08-24 00:00:00.106000+00:00,6.38215e-05
AAVE,2025-08-24 08:00:00.013000+00:00,1.25e-05
AAVE,2025-08-24 16:00:00.002000+00:00,1.25e-05
AAVE,2025-08-25 00:00:00.013000+00:00,1.25e-05
AAVE,2025-08-25 08:00:00.114000+00:00,1.25e-05
AAVE,2025-08-25 16:00:00.012000+00:00,1.25e-05
AAVE,2025-08-26 00:00:00.014000+00:00,1.25e-05
