token,side,open_date,close_date,open_price,close_price,effective_open,effective_close,position_size,return,fees,pnl_eur
BTC,LONG,2025-07-02,2025-08-01,109503.0,113781.0,109579.65209999999,113701.3533,5.0,0.03761374599217231,0.0045,0.18356872996086154
CRV,LONG,2025-07-02,2025-08-01,0.53027,0.89746,0.530641189,0.896831778,5.0,0.6900907743141665,0.0045,3.4459538715708327
OM,SHORT,2025-07-02,2025-08-01,0.21468,0.24017,0.214529724,0.240338119,5.0,-0.12030218712256388,0.0045,-0.6060109356128194
APT,SHORT,2025-07-02,2025-08-01,4.8014,4.2353,4.79803902,4.238264709999999,5.0,0.11666731088818881,0.0045,0.5788365544409441
MERL,LONG,2025-07-03,2025-08-02,0.097042,0.093811,0.09710992939999999,0.0937453323,5.0,-0.03464730250334207,0.0045,-0.17773651251671035
kBONK,LONG,2025-07-03,2025-08-02,0.016551,0.024293,0.0165625857,0.024275994899999997,5.0,0.46571286269631174,0.0045,2.3240643134815584
STX,LONG,2025-07-03,2025-08-02,0.69088,0.65669,0.691363616,0.656230317,5.0,-0.05081739650007841,0.0045,-0.2585869825003921
AIXBT,SHORT,2025-07-03,2025-08-02,0.12972,0.11212,0.129629196,0.11219848399999999,5.0,0.13446594237921536,0.0045,0.6678297118960769
MOODENG,SHORT,2025-07-03,2025-08-02,0.18776,0.15212,0.187628568,0.152226484,5.0,0.18868173635477514,0.0045,0.9389086817738758
JTO,SHORT,2025-07-03,2025-08-02,2.1418,1.6112,2.14030074,1.6123278399999998,5.0,0.2466816415715485,0.0045,1.2289082078577427
ADA,LONG,2025-07-04,2025-08-03,0.5674,0.72441,0.56779718,0.723902913,4.285714285714286,0.27493220906803373,0.0038571428571428567,1.174423753148716
SUI,LONG,2025-07-04,2025-08-03,2.8412,3.4376,2.84318884,3.4351936800000002,4.285714285714286,0.20821861413890483,0.0038571428571428567,0.8885083463095921
LINK,LONG,2025-07-04,2025-08-03,13.044,16.27,13.0531308,16.258611,4.285714285714286,0.2455717520274905,0.0038571428571428567,1.0485932229749593
BTC,LONG,2025-07-04,2025-08-03,107500.0,114340.0,107575.24999999999,114259.962,4.285714285714286,0.06213986953318738,0.0038571428571428567,0.2624565837136602
DOGE,LONG,2025-07-04,2025-08-03,0.16188,0.19926,0.16199331599999997,0.199120518,4.285714285714286,0.22918971545714906,0.0038571428571428567,0.978384494816353
SEI,SHORT,2025-07-04,2025-08-03,0.25989,0.27915,0.259708077,0.279345405,4.285714285714286,-0.07561308152922795,0.0038571428571428567,-0.32791320655383405
AIXBT,SHORT,2025-07-04,2025-08-03,0.12579,0.11918,0.125701947,0.11926342599999999,4.285714285714286,0.05122053519186951,0.0038571428571428567,0.2156594365365836
SOPH,LONG,2025-07-05,2025-08-04,0.03119,0.043369,0.031211832999999998,0.0433386417,4.285714285714286,0.38853241012791534,0.0038571428571428567,1.6612817576910657
BTC,LONG,2025-07-05,2025-08-04,107991.0,114907.0,108066.5937,114826.56509999999,4.285714285714286,0.0625537566101706,0.0038571428571428567,0.2642303854721597
PAXG,LONG,2025-07-05,2025-08-04,3343.6,3376.0,3345.9405199999997,3373.6367999999998,4.285714285714286,0.008277576912813776,0.0038571428571428567,0.031618186769201896
ONDO,LONG,2025-07-05,2025-08-04,0.76718,0.94375,0.7677170259999999,0.9430893749999999,4.285714285714286,0.22843358042185716,0.0038571428571428567,0.9751439160936735
OM,SHORT,2025-07-05,2025-08-04,0.20284,0.2562,0.20269801199999998,0.25637933999999996,4.285714285714286,-0.2648340132709342,0.0038571428571428567,-1.1388600568754321
