signal_date,symbol,side,prediction,reason
2025-07-29,LDO,1,0.8235574459983235,no_price_inside_entry_window
2025-07-29,USUAL,-1,0.1286962522253166,no_price_inside_entry_window
2025-07-29,kNEIRO,-1,0.149886472957918,no_price_inside_entry_window
2025-07-29,MORPHO,-1,0.152070576101631,no_price_inside_entry_window
2025-07-30,TON,1,0.8464354884407561,no_price_inside_entry_window
2025-07-30,TRX,1,0.8295453773699732,no_price_inside_entry_window
2025-07-30,RSR,1,0.8147719341655177,no_price_inside_entry_window
2025-07-30,kNEIRO,-1,0.0657493563746125,no_price_inside_entry_window
2025-07-30,KAITO,-1,0.1164875059488455,no_price_inside_entry_window
2025-07-30,VINE,-1,0.127903657421038,no_price_inside_entry_window
2025-07-31,BTC,1,0.9269524852190164,no_price_inside_entry_window
2025-07-31,LTC,1,0.8973323815368428,no_price_inside_entry_window
2025-07-31,POL,1,0.8899072209849126,no_price_inside_entry_window
2025-07-31,kNEIRO,-1,0.0973974184160862,no_price_inside_entry_window
2025-07-31,VINE,-1,0.1442559469138508,no_price_inside_entry_window
2025-07-31,KAITO,-1,0.1479790631244543,no_price_inside_entry_window
2025-08-01,POLYX,1,0.8962475584729271,no_price_inside_entry_window
2025-08-01,LTC,1,0.8751933318197732,no_price_inside_entry_window
2025-08-01,POL,1,0.8727180878136046,no_price_inside_entry_window
2025-08-01,BLAST,-1,0.0768077162466388,no_price_inside_entry_window
2025-08-01,ALT,-1,0.1336658349596342,no_price_inside_entry_window
2025-08-02,TON,1,0.8964759232589712,no_price_inside_entry_window
2025-08-02,LTC,1,0.8912807805114793,no_price_inside_entry_window
2025-08-02,POL,1,0.7943675897195761,no_price_inside_entry_window
2025-08-02,USUAL,-1,0.1238519833025827,no_price_inside_entry_window
2025-08-02,RESOLV,-1,0.1723797858732771,no_price_inside_entry_window
2025-08-03,BRETT,1,0.8956420702220278,no_price_inside_entry_window
2025-08-03,POL,1,0.8661857572052666,no_price_inside_entry_window
2025-08-03,POLYX,1,0.8364360561820254,no_price_inside_entry_window
2025-08-03,USUAL,-1,0.1390528284244068,no_price_inside_entry_window
2025-08-03,AR,-1,0.139953030410426,no_price_inside_entry_window
2025-08-04,BNB,1,0.8714792363313615,no_price_inside_entry_window
2025-08-04,RENDER,1,0.8617218090011942,no_price_inside_entry_window
2025-08-04,AAVE,1,0.853611591622379,no_price_inside_entry_window
2025-08-04,KAITO,-1,0.1125601091778372,no_price_inside_entry_window
2025-08-04,FARTCOIN,-1,0.1137346527914961,no_price_inside_entry_window
2025-08-05,MNT,1,0.9048375176675046,no_price_inside_entry_window
2025-08-05,LTC,1,0.9029486672108906,no_price_inside_entry_window
2025-08-05,SOL,1,0.8838908711149787,no_price_inside_entry_window
2025-08-05,KAITO,-1,0.1263967832327916,no_price_inside_entry_window
2025-08-05,WCT,-1,0.1376484240482935,no_price_inside_entry_window
2025-08-06,MNT,1,0.9287873082430304,no_price_inside_entry_window
2025-08-06,LTC,1,0.9070774507942037,no_price_inside_entry_window
2025-08-06,TRX,1,0.8720639534298986,no_price_inside_entry_window
2025-08-06,BLAST,-1,0.1312086749085407,no_price_inside_entry_window
2025-08-06,MEME,-1,0.1336134147969196,no_price_inside_entry_window
2025-08-07,DYDX,1,0.8981241886782081,no_price_inside_entry_window
2025-08-07,ATOM,1,0.8818688381026676,no_price_inside_entry_window
2025-08-07,GMX,1,0.8586171896276921,no_price_inside_entry_window
2025-08-07,KAITO,-1,0.1031761931299821,no_price_inside_entry_window
2025-08-07,SYRUP,-1,0.1385638535141558,no_price_inside_entry_window
2025-08-08,INJ,1,0.8855610181711986,no_price_inside_entry_window
2025-08-08,NEAR,1,0.8362914630546348,no_price_inside_entry_window
2025-08-08,LINK,1,0.8169335165384702,no_price_inside_entry_window
2025-08-08,CHILLGUY,-1,0.1259238550301883,no_price_inside_entry_window
2025-08-08,VINE,-1,0.1378862023280557,no_price_inside_entry_window
2025-08-08,LAYER,-1,0.1500647095395779,no_price_inside_entry_window
2025-08-09,DOT,1,0.862853649163249,no_price_inside_entry_window
2025-08-09,kSHIB,1,0.8318342064239624,no_price_inside_entry_window
2025-08-09,ATOM,1,0.8126657835085238,no_price_inside_entry_window
2025-08-09,VIRTUAL,-1,0.12455023716318,no_price_inside_entry_window
2025-08-09,CHILLGUY,-1,0.132631279134793,no_price_inside_entry_window
2025-08-10,DOT,1,0.8973174223504096,no_price_inside_entry_window
2025-08-10,LINK,1,0.8532099201120233,no_price_inside_entry_window
2025-08-10,RSR,1,0.8462153080614294,no_price_inside_entry_window
2025-08-10,SYRUP,-1,0.1051365738360578,no_price_inside_entry_window
2025-08-10,FARTCOIN,-1,0.1641114262565202,no_price_inside_entry_window
2025-08-10,TURBO,-1,0.1698068154631925,no_price_inside_entry_window
2025-08-11,IOTA,1,0.8514678013963167,no_price_inside_entry_window
2025-08-11,BIO,1,0.8355077272757019,no_price_inside_entry_window
2025-08-11,IMX,1,0.8318363946057808,no_price_inside_entry_window
2025-08-11,MEME,-1,0.1739840893554775,no_price_inside_entry_window
2025-08-12,IOTA,1,0.8386413904396948,no_price_inside_entry_window
2025-08-12,BNB,1,0.8369814620305478,no_price_inside_entry_window
2025-08-12,ETC,1,0.8094866581316461,no_price_inside_entry_window
2025-08-12,USUAL,-1,0.1491144132356326,no_price_inside_entry_window
2025-08-12,BLAST,-1,0.1745113250392036,no_price_inside_entry_window
2025-08-13,GALA,1,0.8546251152198638,no_price_inside_entry_window
2025-08-13,IOTA,1,0.8169607565037786,no_price_inside_entry_window
2025-08-13,LTC,1,0.8150077897373107,no_price_inside_entry_window
2025-08-13,VINE,-1,0.1516863337054023,no_price_inside_entry_window
2025-08-13,PAXG,-1,0.1640755954084674,no_price_inside_entry_window
2025-08-14,GALA,1,0.7885981278261182,no_price_inside_entry_window
2025-08-14,ADA,1,0.7852653264475067,no_price_inside_entry_window
2025-08-14,DOGE,1,0.7792207654890577,no_price_inside_entry_window
2025-08-14,VINE,-1,0.1972550936200862,no_price_inside_entry_window
2025-08-15,POLYX,1,0.8240850230399589,no_price_inside_entry_window
2025-08-15,BNB,1,0.7626351254958657,no_price_inside_entry_window
2025-08-15,IOTA,1,0.7487013997625487,no_price_inside_entry_window
2025-08-15,VINE,-1,0.156111476705558,no_price_inside_entry_window
2025-08-15,MAV,-1,0.1936556315459742,no_price_inside_entry_window
2025-08-16,RENDER,1,0.8725575954120168,no_price_inside_entry_window
2025-08-16,HYPE,1,0.8579710701016218,no_price_inside_entry_window
2025-08-16,MNT,1,0.820703409476869,no_price_inside_entry_window
2025-08-16,GRASS,-1,0.166795070279682,no_price_inside_entry_window
2025-08-16,PENGU,-1,0.1705366943253398,no_price_inside_entry_window
2025-08-17,NEO,1,0.8461228108941145,no_price_inside_entry_window
2025-08-17,LTC,1,0.8424829136125611,no_price_inside_entry_window
2025-08-17,DOGE,1,0.811080958898993,no_price_inside_entry_window
2025-08-17,MAVIA,-1,0.1299042505047561,no_price_inside_entry_window
2025-08-17,VINE,-1,0.1376678196063782,no_price_inside_entry_window
2025-08-18,DOGE,1,0.8518470269400905,no_price_inside_entry_window
2025-08-18,BNB,1,0.8417279983232148,no_price_inside_entry_window
2025-08-18,DOT,1,0.8315648956636084,no_price_inside_entry_window
2025-08-18,MAV,-1,0.1591894491072299,no_price_inside_entry_window
