time,cash_collateral,account_equity,portfolio_margin_value,posted_initial_margin_open,maintenance_margin_required,margin_ratio,unrealized_pnl_total,unrealized_pnl_long,unrealized_pnl_short,realized_pnl_total,realized_pnl_long,realized_pnl_short,funding_pnl_total,fees_total,n_open_positions,long_exposure,short_exposure,gross_exposure,net_exposure,gross_leverage_on_equity
2026-01-13 13:00:00+00:00,316.9692726787297,2139.3879438742238,1822.4186711954944,1758.7593943449767,130.00682635734887,0.060768233610739686,63.65927685051765,30.322117919637314,33.337158930880335,180.5991989716831,-163.17009504792733,343.7692940196104,-100.8823358746368,3.9881960733352133,47,946.7003028115029,849.2672299810741,1795.967532792577,97.43307283042873,0.8394772616789895
2026-01-13 14:00:00+00:00,316.9692726787297,2142.726424861431,1825.7571521827,1758.7389429183659,130.18137900021563,0.06075501636128578,67.01820926433423,33.33974566466552,33.67846359966871,180.5991989716831,-163.17009504792733,343.7692940196104,-100.90278730124713,3.9881960733352133,47,949.7179305565307,848.9259253122854,1798.643855868816,100.79200524424539,0.8394183387107541
2026-01-13 15:00:00+00:00,316.9692726787297,2145.9555799780123,1828.986307299283,1758.7171744147454,131.07439749012113,0.06107973469397914,70.2691328845375,41.71242433846866,28.556708546068847,180.5991989716831,-163.17009504792733,343.7692940196104,-100.92455580486816,3.9881960733352133,47,958.090609230334,854.0476803658854,1812.1382895962195,104.04292886444864,0.8444435227381486
2026-01-13 16:00:00+00:00,316.9692726787297,2146.371468771264,1829.402196092535,1758.6776734369173,131.51052530282337,0.06127109273312758,70.72452265561756,44.42295456314992,26.301568092467633,180.5991989716831,-163.17009504792733,343.7692940196104,-100.96405678269603,3.9881960733352133,47,960.8011394550157,856.3028208194867,1817.1039602745022,104.49831863552902,0.8465934190388498
2026-01-13 17:00:00+00:00,316.9692726787297,2143.4334699350893,1826.4641972563593,1758.6529030324755,131.3215154134958,0.06126689596643869,67.81129422388382,41.65004137574767,26.161252848136154,180.5991989716831,-163.17009504792733,343.7692940196104,-100.98882718713786,3.9881960733352133,47,958.0282262676131,856.4431360638181,1814.4713623314312,101.58509020379506,0.8465256271221611
2026-01-13 18:00:00+00:00,316.9692726787297,2150.5471554535,1833.5778827747708,1758.6289627954643,131.40180295781045,0.06110156786127337,74.94891997930655,47.349101878246884,27.59981810105967,180.5991989716831,-163.17009504792733,343.7692940196104,-101.01276742414917,3.9881960733352133,47,963.7272867701125,855.0045708108946,1818.7318575810073,108.72271595921791,0.8457065695904162
2026-01-13 19:00:00+00:00,309.30453189537263,2150.63756755502,1841.3330356596477,1770.447791392541,132.80933273946212,0.061753470107214825,70.88524426710684,50.81618958088938,20.06905468621746,184.82519323298789,-161.60460990532152,346.42980313830935,-101.03578722712446,4.037082717945322,48,966.9705533801956,873.0271433197414,1839.997696699937,93.9434100604542,0.8555591720606658
2026-01-13 20:00:00+00:00,309.30453189537263,2155.1620365032413,1845.8575046078688,1770.4302666403948,132.23179900627008,0.061355850171162386,75.42723796747406,50.41493043661619,25.012307530857864,184.82519323298789,-161.60460990532152,346.42980313830935,-101.05331197927018,4.037082717945322,48,966.5692942359226,868.0838904751009,1834.6531847110236,98.48540376082167,0.8512831766876126
2026-01-13 21:00:00+00:00,309.30453189537263,2151.00735923441,1841.7028273390379,1770.41092933809,132.49408208415582,0.06159629418065465,71.29189800094775,49.1031455631051,22.188752437842652,184.82519323298789,-161.60460990532152,346.42980313830935,-101.07264928157487,4.037082717945322,48,965.2575093624113,870.9074455681161,1836.1649549305275,94.35006379429512,0.85363025237815
2026-01-13 22:00:00+00:00,309.30453189537263,2144.318882490533,1835.01435059516,1770.41092933809,135.3420566691288,0.06311657178149498,64.60342125707014,64.01546046551285,0.587960791557299,184.82519323298789,-161.60460990532152,346.42980313830935,-101.07264928157487,4.037082717945322,48,980.1698242648192,892.5082372144014,1872.6780614792206,87.66158705041778,0.8733206972016152
2026-01-13 23:00:00+00:00,309.30453189537263,2147.5122829508196,1838.2077510554475,1770.3915723558157,134.5864109243077,0.06267084570029902,67.8161786996318,61.17019795569256,6.6459807439392495,184.82519323298789,-161.60460990532152,346.42980313830935,-101.09200626384974,4.037082717945322,48,977.3245617549985,886.4502172620196,1863.774779017018,90.87434449297893,0.8678761904244254
2026-01-14 00:00:00+00:00,309.30453189537263,2137.281608092115,1827.9770761967422,1770.3773591443485,135.73824252198185,0.0635097602524878,57.599717052393785,61.46184756571139,-3.862130513317599,184.82519323298789,-161.60460990532152,346.42980313830935,-101.10621947531608,4.037082717945322,48,977.6162113650176,896.9583285192763,1874.574539884294,80.65788284574137,0.8770835498639172
2026-01-14 01:00:00+00:00,309.30453189537263,2135.797211855823,1826.49267996045,1770.3632346725556,135.78896896458497,0.06357765063594033,56.12944528789449,61.085536938435766,-4.9560916505412775,184.82519323298789,-161.60460990532152,346.42980313830935,-101.12034394710932,4.037082717945322,48,977.2399007377419,898.0522896565001,1875.292190394242,79.18761108124181,0.8780291405871699
2026-01-14 02:00:00+00:00,309.30453189537263,2138.1769417374285,1828.8724098420564,1770.3540130390882,135.50249051413473,0.06337290795214957,58.51839680296834,60.79044372891674,-2.2720469259483997,184.82519323298789,-161.60460990532152,346.42980313830935,-101.12956558057701,4.037082717945322,48,976.9448075282232,895.3682449319074,1872.3130524601306,81.57656259631585,0.875658611741803
